movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
553,Rogue One: A Star Wars Story,PG-13,200000000,1056057273,2016-12-14,Science Fiction,133,,,
554,Batman v Superman: Dawn of Justice,PG-13,250000000,873260194,2016-03-23,Action,151,,,
555,Captain America: Civil War,PG-13,250000000,1153304495,2016-04-27,Action,147,,,
556,Get Out,R,5000000,252434250,2017-02-24,Horror,104,,,
557,It,R,35000000,700400000,2017-09-05,Horror,135,,,
558,The LEGO Batman Movie,PG,80000000,312000000,2017-01-29,Animation,104,,,
559,Despicable Me 3,PG,80000000,1020063384,2017-06-15,Animation,96,,,
560,The Greatest Showman,PG,84000000,435000000,2017-12-08,Drama,105,,,
561,Logan,R,97000000,616801808,2017-02-28,Action,137,,,
562,Dunkirk,PG-13,100000000,519876949,2017-07-19,War,107,,,
563,The Boss Baby,PG,125000000,498814908,2017-03-23,Animation,97,,,
564,Wonder Woman,PG-13,149000000,820580447,2017-05-30,Action,141,,,
565,Jumanji: Welcome to the Jungle,PG-13,150000000,962200000,2017-12-05,Thriller,119,,,
566,Beauty and the Beast,PG,160000000,1262886337,2017-03-16,Drama,129,,,
567,Spider-Man: Homecoming,PG-13,175000000,880200000,2017-06-28,Action,133,,,
568,Coco,PG,175000000,807100000,2017-10-20,Animation,105,,,
569,Thor: Ragnarok,PG-13,180000000,854000000,2017-10-25,Action,130,,,
570,Kong: Skull Island,PG-13,185000000,566652812,2017-03-08,Adventure,118,,,
571,Guardians of the Galaxy Vol. 2,PG-13,200000000,863416141,2017-04-19,Action,137,,,
572,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,230000000,794191988,2017-05-23,Action,129,,,
573,The Fate of the Furious,PG-13,250000000,1238764765,2017-04-12,Action,136,,,
574,Justice League,PG-13,300000000,657900000,2017-11-15,Action,120,,,
575,Star Wars: The Last Jedi,PG-13,317000000,1333000000,2019-12-09,Science Fiction,152,,,
576,A Quiet Place,PG-13,17000000,340900000,2018-03-09,Horror,91,,,
577,Crazy Rich Asians,PG-13,30000000,238500000,2018-08-07,Romance,121,,,
578,A Star is Born,R,36000000,435000000,2018-08-31,Romance,135,,,
579,Bohemian Rhapsody,PG-13,55000000,903700000,2018-10-23,Drama,134,,,
580,Dr. Seuss' The Grinch,PG,75000000,511600000,2018-10-22,Animation,86,,,
581,Hotel Transylvania 3: Summer Vacation,PG,80000000,528600000,2018-06-13,Animation,97,,,
582,Spider-Man: Into the Spider-Verse,PG,90000000,375500000,2018-12-01,Animation,117,,,
583,Deadpool 2,R,110000000,785000000,2018-05-10,Comedy,119,,,
584,Venom,PG-13,116000000,856100000,2018-10-01,Action,112,,,
585,Mary Poppins Returns,PG,130000000,349500000,2018-11-29,Family,130,,,
586,Aquaman,PG-13,160000000,1148000000,2018-11-26,Action,143,,,
